Country,Year,Survey,Valid records,Median log welfare,MAD log welfare,Robust scale (1.4826*MAD),outdetect threshold (PPP/day),Records flagged (top),Population share flagged (%),Welfare share flagged (%),mean_ppp_day original,mean_ppp_day outdetect-capped,mean_ppp_day change (%),gini original,gini outdetect-capped,gini change (%),mld original,mld outdetect-capped,mld change (%),atkinson_2 original,atkinson_2 outdetect-capped,atkinson_2 change (%)
BOL,2015,EH,8240,2.6379143110264645,0.5609032096369271,0.8315950986077081,169.47401425704732,65,0.4044708515959557,5.854662119216112,19.82189610853385,19.346864054456475,-2.3965015832812298,0.4672943607687746,0.4542591021890362,-2.78951763044889,0.42532515878028443,0.40283567138070797,-5.287598660768178,0.6598815844945058,0.6515482019942154,-1.2628602913163811
SRB,2002,LSMS,6384,2.601865866086801,0.3581673409501729,0.5310188996927263,66.34859368596564,51,0.8294560650573957,5.835165196901151,16.383299697871315,15.977639530205648,-2.476059006101039,0.3274375340227431,0.3104257381505249,-5.19543244270727,0.18159677942430497,0.15980722893691723,-11.998863942667148,0.2900396405604422,0.27229831858106124,-6.116861110812122
PAN,2010,EH,7192,2.6706290609829355,0.6100349720294682,0.9044378495308896,217.8795984606311,63,0.3821111254988697,5.832712088433865,23.09544244899071,22.58089397130148,-2.2279221488208156,0.5158138199348941,0.5048150975278216,-2.132304715771416,0.49228837475204035,0.47121032941853214,-4.281645964953973,0.6261742384571127,0.6176718972439758,-1.357823540311509
BGR,1995,IHS,2459,2.4051820412411677,0.34342150257497606,0.5091567197176595,51.04217237792185,24,0.8799171842650103,5.820525586323961,13.51039894097957,13.173151559780914,-2.4962059423406235,0.3277233799309247,0.31061385832109467,-5.22072047878801,0.18718342581429415,0.16601192708051649,-11.31056269628382,0.31730415966694525,0.3001930818614017,-5.39264213349866
MMR,2017,MLCS,13718,1.6995309125322762,0.3236130266355448,0.4797886732898587,23.078395782540504,263,1.0290347470380927,5.817449797350964,6.579838945948268,6.434544830182498,-2.208171308740603,0.3069686956452108,0.29140436871751474,-5.070330345894625,0.15531112186640383,0.136808600922536,-11.913197665124986,0.2459344065391692,0.22936375440949197,-6.73783402772401
SLV,2008,EHPM,16557,1.9044401386321483,0.5412892846058426,0.8025154933566222,74.58852080060666,79,0.428055465208822,5.815627858707502,10.22961907259982,9.953982735679466,-2.6944926782137113,0.46885679046525286,0.4541887994980097,-3.128458681954438,0.38281738341381644,0.35750327582765706,-6.612580484307696,0.514270697788815,0.5008642196567661,-2.6068913102947677
ECU,2005,ENEMDU,16241,1.9106082859088467,0.6385546717870838,0.9467211563915304,115.67352171653512,78,0.33196048716886495,5.809604046399388,11.378641944605594,11.10157828798208,-2.4349448552150266,0.5299105921186714,0.5182183920027659,-2.2064477083121092,0.5219636910025705,0.498844640883197,-4.429244891530127,0.6679596006735431,0.6596851481756372,-1.2387654117947067
DOM,2020,ECNFT-Q03,5282,2.37658113157849,0.4385841028541124,0.650244790891507,75.7406878570924,39,0.771085471781231,5.801569230834478,14.551607733037907,14.29141157649946,-1.78809215663297,0.3953934892384151,0.38445921930042926,-2.765414766704133,0.26371892216988924,0.24823510230812618,-5.871334424682761,0.3963047698894555,0.3854568039432831,-2.73727867297644
CZE,2008,EU-SILC,10456,3.2970124437081187,0.25772601051953936,0.38210458319626905,85.05738899335518,152,1.3970940834237642,5.784908798984895,30.657750993989612,30.07255980830833,-1.9087870659397321,0.2599564781981749,0.24567363253015317,-5.494321883039732,0.11805297656066704,0.10352486840284536,-12.306431045688825,0.21972213254019435,0.20534134325169096,-6.5449889468338736
HRV,2009,HBS,3004,3.2489095367216314,0.35581789318636803,0.5275356084381092,125.40096982692745,72,1.1544082357789822,5.781494181825263,31.785860581201934,31.395802024485423,-1.2271448675112762,0.33183348076513963,0.32362320255135424,-2.474216343346125,0.18145709061015358,0.1717475006921907,-5.35090135376588,0.2919531901861636,0.28344872598245907,-2.9129547097196284
