"Country","Year","Survey","Valid records","Median log welfare (unweighted)","S estimate, log space (unweighted, 1.1926 scaled)","outdetect threshold (PPP/day)","Records flagged (top)","Population share flagged (%)","Welfare share flagged (%)","mean_ppp_day original","mean_ppp_day outdetect-capped","mean_ppp_day change (%)","gini original","gini outdetect-capped","gini change (%)","mld original","mld outdetect-capped","mld change (%)","atkinson_2 original","atkinson_2 outdetect-capped","atkinson_2 change (%)"
"MOZ",2014,"IOF",32454,0.808220390420466,0.916087402441223,35.0397313029553,487,0.499552306740975,12.9881439844383,2.86985079677352,2.67215222914977,-6.88880996343116,0.539889914426834,0.505987180605169,-6.27956420665068,0.511032512470043,0.442538133926217,-13.4031351963817,0.625246823576613,0.597543848081535,-4.43072630687005
"CHL",2006,"CASEN",45413,2.22747308749221,0.743886551758489,86.4125346943051,654,1.4489075456475,12.9687497782626,15.9090331731698,15.0978682043717,-5.09876973646729,0.47651448365859,0.448719596398554,-5.83295748885373,0.390850771970976,0.344475360295082,-11.8652475577911,0.531894024113696,0.50692783707765,-4.69382732352526
"CHL",2003,"CASEN",33534,2.00379607665691,0.829637698352066,89.3632185328057,410,1.13224777142633,12.8970556005469,13.8066682914682,13.037827655647,-5.56861814588748,0.512610860658257,0.484121718916617,-5.55765472956549,0.467451284616488,0.415006963444501,-11.2192057007638,0.616797352213295,0.594282950497975,-3.6502105001797
"CHL",1996,"CASEN",27877,2.15251359368407,0.886653684170295,123.035710954202,234,1.00701877601207,12.831138660857,15.1296419065038,14.4273292850979,-4.64196459999467,0.548117179219857,0.526319367621896,-3.97685247322223,0.533659323843998,0.489780175607852,-8.22231455080376,0.638817430484806,0.621280806318931,-2.74516995451521
"RUS",2009,"HBS",186581,2.62995420829069,0.545644951113043,71.2994819510242,1073,2.61345140266867,12.7628358765055,21.3490688415904,20.4876995353206,-4.03469262599295,0.39845600871536,0.373683544154664,-6.21711406500396,0.262718040943899,0.23026107044362,-12.354298313,0.384780691201749,0.359708106633596,-6.51607139896901
"RWA",2000,"EICV-I",6419,0.407927322476881,0.773712069957966,15.3185349883994,99,0.975281968952833,12.7619823271385,2.11252108331151,1.99232042565181,-5.68991517335663,0.485472726862906,0.454660457756223,-6.34685892774861,0.402055287545035,0.34800675766505,-13.4430590902082,0.492733087952667,0.462246644564091,-6.18721253635482
"MDV",2002,"HIES",834,1.67481502723038,0.611967675288991,33.4722940412602,8,0.489437312379497,12.7200094396175,7.05623258728389,6.32250503244732,-10.3982903874063,0.413120270527936,0.345199460652818,-16.4409288821196,0.300817941286179,0.196480806734009,-34.684478627194,0.383416818290479,0.312091138402785,-18.6026476891939
"RUS",2015,"HBS",188953,2.76981983293026,0.511677207541233,74.0582136994154,1187,2.66882944448928,12.5983233592955,23.1790777481684,22.2353899950244,-4.07129120233678,0.377105383513403,0.35122399756956,-6.86317063487973,0.234723334618684,0.20241821905693,-13.7630609305354,0.352806063359287,0.326311858607387,-7.50956616210964
"ZWE",2019,"PICES",168598,1.02463323757811,0.79485498486463,30.2409870757361,1551,1.17795679583126,12.4853828873205,4.50019162422984,4.2945512316667,-4.56959191372939,0.503716855046154,0.480188100917712,-4.67102775949107,0.428841174802808,0.386506304473361,-9.87192294417943,0.516165526915578,0.493116238606022,-4.46548386276216
"PRY",2017,"EPH",8363,2.56439056829722,0.822286348483283,153.124239345501,82,0.699561801995765,12.3733564988824,19.4121315779987,18.0813980218785,-6.85516451798857,0.485474928554459,0.447788526267688,-7.76279063452053,0.411306066840774,0.344424417276457,-16.2607982123952,0.512152311039151,0.476333751309085,-6.99373193443003
"BGR",2019,"EU-SILC",7235,2.96804576761171,0.581144195717722,111.216455809339,95,1.50756822766779,12.3284189036128,26.5495787689253,24.9530994328674,-6.01320024680227,0.412840989435507,0.375612067412072,-9.01773878469282,0.307675042022193,0.253141017411973,-17.7245525837247,0.469966352212746,0.436411607576936,-7.1398185163309
"CHL",2013,"CASEN",49778,2.66783549782392,0.706657273026682,120.03787487048,747,1.42543081235617,12.2744256651278,22.4939006303308,21.4439603731745,-4.66766646839613,0.46791101486946,0.442145249108225,-5.50655251585014,0.369842197831567,0.32759021944361,-11.4243260059792,0.48520607701963,0.460211749230778,-5.1512808624284
"ARM",2005,"ILCS",5187,1.77016008464871,0.520294587442162,27.9675202830522,98,1.82107045272354,12.2104865903198,7.13837774839433,6.77605533889439,-5.07569677972612,0.359923534791458,0.326076797368857,-9.40386891960604,0.217762988539292,0.173365788912361,-20.3878537508773,0.311221422267429,0.27508818371644,-11.6101386234076
