hhid,subnatid,urban,hsize,weight,welfare_ppp_day,predicted_welfare_ppp_day,in_sample_predicted_welfare_ppp_day,actual_to_predicted_ratio,log_residual_crossfit,standardized_log_residual,inconsistency_flag,direction
50505113073.0,305 – Blantyre City,Urban,8,1573.4916,54.69365626603847,6.2267100288523265,6.228238049542765,8.783716603568788,2.1728996214471734,3.7650028844989323,True,reported welfare unusually high
242403135043.0,224 – Lilongwe City,Urban,1,261.0616,130.23776649885605,15.031924384821044,15.361675796324931,8.66407807574975,2.1591855211712154,3.741240338549893,True,reported welfare unusually high
50511139020.0,305 – Blantyre City,Urban,1,196.68645,95.27155034574889,11.205325583353979,11.409981159511124,8.502345571045176,2.140342074963927,3.708590128377234,True,reported welfare unusually high
50513188028.0,305 – Blantyre City,Urban,2,393.3729,80.94520763861853,9.583629459238013,9.692441390011416,8.446195461010072,2.133716098679451,3.6971092391647544,True,reported welfare unusually high
50511139023.0,305 – Blantyre City,Urban,4,786.7458,67.32888939885606,8.060725574396713,7.891197511847249,8.352708298706117,2.1225858334240315,3.6778237275938226,True,reported welfare unusually high
121203001127.0,312 – Mangochi,Rural,4,842.6378,16.320536784330244,1.9768306093026695,1.9685562281211884,8.25591060130708,2.1109293803505267,3.657626485617434,True,reported welfare unusually high
242425034286.0,224 – Lilongwe City,Urban,4,1044.2465,86.16439934794174,10.549222198408266,10.624208412536706,8.167843820840439,2.1002049598226096,3.6390441848872714,True,reported welfare unusually high
50513188060.0,305 – Blantyre City,Urban,1,196.68645,93.43759544544238,11.533231763498586,11.409981159511124,8.101596964448605,2.0920611983504487,3.6249334155122295,True,reported welfare unusually high
80852027241.0,308 – Thyolo,Rural,2,541.0025,16.470039647296815,2.0737324340623338,2.097065336556496,7.9422202096887045,2.072192859558198,3.590507364660785,True,reported welfare unusually high
50505119072.0,305 – Blantyre City,Urban,3,590.0593,69.58456233883007,8.792820688671283,8.631150530805476,7.913792945702077,2.0686071795810546,3.584294424438611,True,reported welfare unusually high
242402128060.0,224 – Lilongwe City,Urban,5,1305.3081,76.76628384307095,9.758537189613737,9.871215089111661,7.866576962454505,2.062623020220622,3.573925617232356,True,reported welfare unusually high
60627006108.0,306 – Zomba Rural,Rural,1,169.41235,24.204407226366705,3.082828805035252,3.0428898848395485,7.8513627441242,2.060687114705537,3.570571256185729,True,reported welfare unusually high
90962017010.0,309 – Mulanje,Rural,4,774.48016,14.775677098537832,1.8880229213013253,1.917809547416783,7.826005146353654,2.057452181384945,3.564966057876992,True,reported welfare unusually high
101065801178.0,310 – Phalombe,Rural,8,2073.5186,10.85020769208982,1.411896651379343,1.4193670634738023,7.684845545521892,2.0392502786131677,3.5334274558344974,True,reported welfare unusually high
242447059037.0,224 – Lilongwe City,Urban,4,1044.2465,80.73622055531249,10.549222198408266,10.624208412536706,7.6532865681314854,2.035135172328806,3.526297173847369,True,reported welfare unusually high
272727021115.0,227 – Dowa,Rural,6,1126.1139,20.839560776815635,2.7471113979131245,2.7670676761198574,7.58599043076544,2.0263031818324078,3.5109939037990916,True,reported welfare unusually high
111112012106.0,311 – Machinga,Rural,6,2874.893,14.53656717220896,1.923351178244846,1.9053122987017819,7.55793707183225,2.022598278858268,3.504574384808548,True,reported welfare unusually high
313113020223.0,131 – Mzuzu City,Urban,8,604.0851,36.41887415164953,4.836106561277255,4.815480635772757,7.5306186268217825,2.01897719339368,3.4983000971771157,True,reported welfare unusually high
80855032137.0,308 – Thyolo,Rural,2,541.0025,15.558554621079848,2.0737324340623338,2.097065336556496,7.5026818144525285,2.015260531887804,3.491860204071971,True,reported welfare unusually high
242402128094.0,224 – Lilongwe City,Urban,5,1305.3081,73.38672277380867,9.7826307940171,9.871215089111661,7.501736937541465,2.015134585401248,3.4916419754522523,True,reported welfare unusually high
