reporting_level,bin,avg_welfare,pop_share,welfare_share,quantile,pop,cum_pop_share,cum_welfare_share
national,16534,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8266999999999172,0.6163112726059786
national,16535,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8267499999999172,0.6163745177497615
national,16536,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8267999999999172,0.6164377628935443
national,16537,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8268499999999172,0.6165010080373272
national,16538,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8268999999999171,0.6165642531811101
national,16539,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8269499999999171,0.6166274983248929
national,16540,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8269999999999171,0.6166907434686758
national,16541,80.39384852667948,5.000000000000001e-05,6.337318053140472e-05,80.39384852668015,366.1322509765625,0.8270499999999171,0.6167541166492072
national,16542,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8270999999999171,0.6168174898297386
national,16543,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8271499999999171,0.61688086301027
national,16544,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8271999999999171,0.6169442361908014
national,16545,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8272499999999171,0.6170076093713328
national,16546,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8272999999999171,0.6170709825518642
national,16547,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8273499999999171,0.6171343557323956
national,16548,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8273999999999171,0.617197728912927
national,16549,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8274499999999171,0.6172611020934584
national,16550,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8274999999999171,0.6173244752739898
national,16551,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8275499999999171,0.6173878484545212
national,16552,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8275999999999171,0.6174512216350526
national,16553,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8276499999999171,0.617514594815584
national,16554,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.8276999999999171,0.6175779679961154
national,16555,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.827749999999917,0.6176413411766468
national,16556,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.827799999999917,0.6177047143571782
national,16557,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.827849999999917,0.6177680875377096
national,16558,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.827899999999917,0.617831460718241
national,16559,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.827949999999917,0.6178948338987724
national,16560,80.39384852668015,5.000000000000001e-05,6.337318053140523e-05,80.39384852668015,366.1322509765625,0.827999999999917,0.6179582070793038
national,16561,80.71295433967944,5.000000000000001e-05,6.362472652237884e-05,80.71295433968075,366.1322509765625,0.828049999999917,0.6180218318058261
national,16562,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828099999999917,0.6180854565323485
national,16563,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828149999999917,0.6181490812588708
national,16564,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828199999999917,0.6182127059853931
national,16565,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828249999999917,0.6182763307119155
national,16566,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828299999999917,0.6183399554384378
national,16567,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828349999999917,0.6184035801649601
national,16568,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828399999999917,0.6184672048914824
national,16569,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828449999999917,0.6185308296180048
national,16570,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828499999999917,0.6185944543445271
national,16571,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828549999999917,0.6186580790710494
national,16572,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828599999999917,0.6187217037975717
national,16573,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828649999999917,0.6187853285240941
national,16574,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.828699999999917,0.6188489532506164
national,16575,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.8287499999999169,0.6189125779771387
national,16576,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.8287999999999169,0.618976202703661
national,16577,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.8288499999999169,0.6190398274301834
national,16578,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.8288999999999169,0.6191034521567057
national,16579,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.8289499999999169,0.619167076883228
national,16580,80.71295433968075,5.000000000000001e-05,6.362472652237987e-05,80.71295433968075,366.1322509765625,0.8289999999999169,0.6192307016097504
national,16581,80.80402905661013,5.000000000000001e-05,6.369651926005304e-05,80.8040290566105,366.1322509765625,0.8290499999999169,0.6192943981290104
national,16582,80.8040290566105,5.000000000000001e-05,6.369651926005333e-05,80.8040290566105,366.1322509765625,0.8290999999999169,0.6193580946482705
national,16583,80.8040290566105,5.000000000000001e-05,6.369651926005333e-05,80.8040290566105,366.1322509765625,0.8291499999999169,0.6194217911675306
national,16584,80.8040290566105,5.000000000000001e-05,6.369651926005333e-05,80.8040290566105,366.1322509765625,0.8291999999999169,0.6194854876867907
