reporting_level,welfare,weight,quantile_point
national,0.7315944158615268,483.3324045991898,504
national,0.7316089807444934,483.3324045991898,505
national,0.7316235456274601,483.3324045991898,506
national,0.7316381105104267,483.3324045991898,507
national,0.7316526753933934,483.3324045991898,508
national,0.732514304892237,483.3324045991898,509
national,0.7342930115137559,483.3324045991898,510
national,0.7352032670927392,483.3324045991898,511
national,0.7357884100392567,483.3324045991898,512
national,0.7365251883222432,483.3324045991898,513
national,0.7368317770420796,483.3324045991898,514
national,0.7371297157692437,483.3324045991898,515
national,0.7377661534245799,483.3324045991898,516
national,0.7384025910799159,483.3324045991898,517
national,0.738669808661615,483.3324045991898,518
national,0.7388622258112432,483.3324045991898,519
national,0.7391112113651688,483.3324045991898,520
national,0.7393317568358044,483.3324045991898,521
national,0.7394664792354798,483.3324045991898,522
national,0.7396618077312896,483.3324045991898,523
national,0.7406796626557717,483.3324045991898,524
national,0.7416975175802536,483.3324045991898,525
national,0.7427153725047356,483.3324045991898,526
national,0.7432118349367284,483.3324045991898,527
national,0.7436384132987499,483.3324045991898,528
national,0.7440903379923918,483.3324045991898,529
national,0.7442977280571552,483.3324045991898,530
national,0.7444531476481577,483.3324045991898,531
national,0.7445660394975501,483.3324045991898,532
national,0.7446568136601323,483.3324045991898,533
national,0.7447149660165466,483.3324045991898,534
national,0.7447731260194892,483.3324045991898,535
national,0.744846887592337,483.3324045991898,536
national,0.7449206491651846,483.3324045991898,537
national,0.7450287155502403,483.3324045991898,538
national,0.7452110107410572,483.3324045991898,539
national,0.747163833486868,483.3324045991898,540
national,0.7504377622150005,483.3324045991898,541
national,0.7524891627686413,483.3324045991898,542
national,0.7526558405298732,483.3324045991898,543
national,0.7538510391302222,483.3324045991898,544
national,0.7567234052940066,483.3324045991898,545
national,0.7581214400002566,483.3324045991898,546
national,0.7586894260267584,483.3324045991898,547
national,0.7592453298589027,483.3324045991898,548
national,0.7596693983677318,483.3324045991898,549
national,0.759768963907427,483.3324045991898,550
national,0.7603411165792386,483.3324045991898,551
national,0.7646346656112526,483.3324045991898,552
national,0.7647468108782595,483.3324045991898,553
national,0.7648589561452664,483.3324045991898,554
national,0.7649711014122733,483.3324045991898,555
national,0.7650832466792803,483.3324045991898,556
national,0.7652313877976422,483.3324045991898,557
national,0.7657969330675234,483.3324045991898,558
national,0.7663624783374046,483.3324045991898,559
national,0.7669280236072857,483.3324045991898,560
national,0.7674312625797801,483.3324045991898,561
national,0.7678054495213712,483.3324045991898,562
national,0.7680098797708821,483.3324045991898,563
national,0.7681653576161842,483.3324045991898,564
national,0.7683033955303098,483.3324045991898,565
national,0.7683613798980146,483.3324045991898,566
national,0.7684193642657194,483.3324045991898,567
national,0.7684773486334242,483.3324045991898,568
national,0.7685325882739253,483.3324045991898,569
national,0.768579861563707,483.3324045991898,570
national,0.7686271348534885,483.3324045991898,571
national,0.7686744081432701,483.3324045991898,572
national,0.7687216814330518,483.3324045991898,573
national,0.7687689547228334,483.3324045991898,574
national,0.768816228012615,483.3324045991898,575
national,0.76896647389855,483.3324045991898,576
national,0.7691382358508123,483.3324045991898,577
national,0.7693099978030745,483.3324045991898,578
